"latitude_deg","longitude_deg","GPSQuality","altitude_m","altitudeQuality","time","FileName","TransducerName","TransducerNumber","ReportNumber","FirstPingNumber","LastPingNumber","BottomStatus","bottom_elevation_m","PlantStatus","plant_height_m","percent_coverage"
"49.781567","-64.3572561666667","Differential","-0.14","1","2022-07-06 16:55:36.324000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","1","1","1","Valid","-5.06273794174194","Valid","0.2246265","100"
"49.781567","-64.3572561666667","Differential","-0.14","1","2022-07-06 16:55:36.527000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","2","2","2","Valid","-5.13185405731201","Valid","0.2419057","100"
"49.781567","-64.3572561666667","Differential","-0.14","1","2022-07-06 16:55:36.728000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","3","3","3","Valid","-5.16641187667847","Valid","0.1036739","100"
"49.7815642733933","-64.3572537157842","Differential","-0.1638961","1","2022-07-06 16:55:36.931000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","4","4","4","Valid","-5.23552751541138","Valid","0.1900687","100"
"49.7815612800533","-64.3572510251415","Differential","-0.1901299","1","2022-07-06 16:55:37.133000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","5","5","5","Valid","-5.16641187667847","Valid","0.1382318","100"
"49.7815582867133","-64.3572483344988","Differential","-0.2163636","1","2022-07-06 16:55:37.335000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","6","6","6","Valid","-5.13185405731201","Valid","0.2591848","100"
"49.7815552933733","-64.3572456438561","Differential","-0.2425974","1","2022-07-06 16:55:37.537000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","7","7","7","Valid","-5.0972957611084","Valid","0.1382318","100"
"49.7815523148518","-64.3572429665335","Differential","-0.2687013","1","2022-07-06 16:55:37.738000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","8","8","8","Valid","-5.13185405731201","Valid","0.3801374","100"
"49.7815490946667","-64.3572406253333","Differential","-0.2604","1","2022-07-06 16:55:37.940000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","9","9","9","Valid","-5.13185405731201","Valid","0.3974166","100"
"49.7815458626667","-64.3572383023333","Differential","-0.2503","1","2022-07-06 16:55:38.142000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","10","10","10","Valid","-5.08001708984375","Valid","0.3455796","100"
"49.7815426306667","-64.3572359793333","Differential","-0.2402","1","2022-07-06 16:55:38.344000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","11","11","11","Valid","-5.01090097427368","Valid","0.2764635","100"
"49.7815393986667","-64.3572336563333","Differential","-0.2301","1","2022-07-06 16:55:38.546000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","12","12","12","Valid","-5.04545879364014","Valid","0.2764635","100"
"49.7815361666667","-64.3572313333333","Differential","-0.22","1","2022-07-06 16:55:38.748000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","13","13","13","Valid","-5.06273794174194","Valid","0.2246265","100"
"49.7815327629296","-64.3572298505172","Differential","-0.1856256","1","2022-07-06 16:55:38.950000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","14","14","14","Valid","-5.14913272857666","Valid","0.5183687","100"
